move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
b8d7,1.0,0.0,0.0,1416.0,,b8a6,1134.0,,e7d8,1146.0,,c5e6,1233.0,,110,27
d5c7,0.0,0.0,1.0,1431.0,,d5c7,1393.0,,f3d4,1115.0,,e1g1,1109.0,,110,28
e8d8,1.0,0.0,0.0,1453.0,,e8d8,1409.0,,e8f8,1447.0,,e8f7,1454.0,,110,29
c7a8,0.0,0.0,1.0,1453.0,,c7a8,1430.0,,c7b5,1215.0,,c7d5,1107.0,,110,30
d8c8,1.0,0.0,0.0,1453.0,,d8c8,1446.0,,c5e6,1580.0,,h8f8,1584.0,,110,31
e5e6,0.0,0.0,1.0,1307.0,,d1d5,1453.0,,e1g1,1438.0,,b2b4,1408.0,,110,32
c5e6,1.0,0.0,0.0,1533.0,,d7f6,1269.0,,d7f8,1400.0,,h8d8,1453.0,,110,33
d1d5,0.0,0.0,1.0,1408.0,,d1a4,1545.0,,a1c1,1438.0,,d1d5,1362.0,,110,34
e6c5,1.0,0.0,0.0,1401.0,,e6c5,1400.0,,e7b4,1408.0,,d7c5,1484.0,,110,35
d5c6,0.0,0.0,1.0,1228.0,,b2b4,1385.0,,e1c1,1353.0,,e1g1,1323.0,,110,36
c8d8,1.0,0.0,0.0,1607.0,,c8b8,1243.0,,c8d8,2246.0,,c8d8,2246.0,,110,37
c6c7,0.0,0.0,1.0,1713.0,,e1c1,2269.0,,c6c7,1789.0,,b2b4,1763.0,,110,38
d8e8,1.0,0.0,0.0,1748.0,,d8e8,1786.0,,d8e8,1786.0,,d8e8,1786.0,,110,39
a1d1,0.0,0.0,1.0,1569.0,,c7c8,1850.0,,b2b4,1658.0,,e1c1,1599.0,,110,40
e8f7,1.0,0.0,0.0,1592.0,,e8f7,1583.0,,b6b5,1696.0,,e7d8,1705.0,,110,41
c7f4,0.0,0.0,1.0,1500.0,,c7a7,1584.0,,d1d7,1492.0,,c7c6,1492.0,,110,42
e7f6,1.0,0.0,0.0,1535.0,,e7f6,1415.0,,f7g6,1583.0,,f7g8,1673.0,,110,43
a8c7,0.0,0.0,1.0,1523.0,,a8c7,1507.0,,f4f5,1339.0,,f4c4,1339.0,,110,44
c5e6,1.0,0.0,0.0,,6.0,a7a5,1537.0,,h8d8,1537.0,,h8e8,1584.0,,110,45
d1d7,0.0,0.0,1.0,,5.0,d1d7,,6.0,c7e6,1938.0,,f4c4,1740.0,,110,46
f7g6,1.0,0.0,0.0,,5.0,f7g6,,5.0,f7f8,,3.0,f7g8,,3.0,110,47
f4g4,0.0,0.0,1.0,,6.0,c7e6,,5.0,f4e4,,6.0,f4g4,4355.0,,110,48
e6g5,1.0,0.0,0.0,,6.0,e6g5,,6.0,g6h6,,5.0,f6g5,,3.0,110,49
h2h4,0.0,0.0,1.0,,5.0,h2h4,,6.0,d7d6,2398.0,,c7e6,2353.0,,110,50
h8e8,1.0,0.0,0.0,,5.0,h8e8,,5.0,h7h6,,5.0,f6c3,,4.0,110,51
e1d1,0.0,0.0,1.0,2413.0,,c7e8,,5.0,e1f1,2084.0,,e1d2,1984.0,,110,52
h7h6,1.0,0.0,0.0,,5.0,h7h5,2612.0,,e8e4,,8.0,e8e1,,6.0,110,53
h4g5,0.0,0.0,1.0,,4.0,h4g5,,5.0,c7e8,,5.0,h4h5,2569.0,,110,54
f6g5,1.0,0.0,0.0,,3.0,e8e7,,4.0,h6h5,,4.0,e8e1,,4.0,110,55
f3h4,0.0,0.0,1.0,,4.0,c7e8,,3.0,g4h5,,3.0,h1h6,,3.0,110,56
g6h7,1.0,0.0,0.0,,4.0,g6h7,,4.0,g6f6,,1.0,g6f6,,1.0,110,57
g4f5,0.0,0.0,1.0,,4.0,c7e8,,4.0,g4f5,,5.0,g4g5,,6.0,110,58
